year,sequel,production_budget,S_australia_rev,X_australia_rev,S_austria_rev,X_austria_rev,S_belgium_rev,X_belgium_rev,S_brazil_rev,X_brazil_rev,S_bulgaria_rev,X_bulgaria_rev,S_chile_rev,X_chile_rev,S_czechrepublic_rev,X_czechrepublic_rev,S_finland_rev,X_finland_rev,S_france_rev,X_france_rev,S_germany_rev,X_germany_rev,S_greece_rev,X_greece_rev,S_hungary_rev,X_hungary_rev,S_iceland_rev,X_iceland_rev,S_italy_rev,X_italy_rev,S_lebanon_rev,X_lebanon_rev,S_mexico_rev,X_mexico_rev,S_netherlands_rev,X_netherlands_rev,S_newzealand_rev,X_newzealand_rev,S_norway_rev,X_norway_rev,S_poland_rev,X_poland_rev,S_portugal_rev,X_portugal_rev,S_singapore_rev,X_singapore_rev,S_spain_rev,X_spain_rev,S_turkey_rev,X_turkey_rev,S_unitedarabemirates_rev,X_unitedarabemirates_rev,S_unitedkingdom_rev,X_unitedkingdom_rev,S_us_rev,X_us_rev,t
2011,0,17000000,.0175912,4.17e+08,.0148002,6.15e+07,.0162773,6.90e+07,.0243815,3.22e+08,.0074581,9691327,.0024395,4.01e+07,.016863,2.01e+07,.0256403,2.73e+07,.0322522,4.50e+08,.0170301,4.05e+08,.0585205,3.58e+07,.0060681,2.17e+07,.0115012,4499777,.0541949,2.02e+08,.0043772,7299353,.0080839,3.35e+08,.0152686,1.00e+08,.0175255,4.82e+07,.0211032,5.91e+07,.0659195,6.31e+07,.0296564,4.36e+07,.0021754,6.41e+07,.0432382,2.49e+08,.0152539,4.74e+07,.0035316,4.18e+07,.0079237,5.54e+08,.0146637,3.87e+09,275
2011,0,2.500e+08,.0696243,4.17e+08,.1304489,6.15e+07,.1226938,6.90e+07,.0943213,3.22e+08,.1438537,9691327,.1305149,4.01e+07,.1932942,2.01e+07,.188947,2.73e+07,.1094626,4.50e+08,.1541363,4.05e+08,.1458296,3.58e+07,.1229418,2.17e+07,.0838206,4499777,.1208054,2.02e+08,.0651759,7299353,.086601,3.35e+08,.1453288,1.00e+08,.0724574,4.82e+07,.1682467,5.91e+07,.1602531,6.31e+07,.097123,4.36e+07,.0637716,6.41e+07,.1087342,2.49e+08,.1498187,4.74e+07,.0885879,4.18e+07,.0977741,5.54e+08,.0622174,3.87e+09,276
2011,1,80000000,.0849007,4.17e+08,.1041458,6.15e+07,.050948,6.90e+07,.0524084,3.22e+08,.0535214,9691327,.034942,4.01e+07,.0361404,2.01e+07,.0701933,2.73e+07,.0514929,4.50e+08,.1040976,4.05e+08,.0721143,3.58e+07,.0943264,2.17e+07,.0801798,4499777,.0666974,2.02e+08,.0619685,7299353,.0364579,3.35e+08,.0866367,1.00e+08,.0657588,4.82e+07,.0801385,5.91e+07,.1137937,6.31e+07,.060523,4.36e+07,.0274028,6.41e+07,.0411904,2.49e+08,.0405535,4.74e+07,.0544293,4.18e+07,.0965282,5.54e+08,.0656738,3.87e+09,277
2011,1,1.500e+08,.048533,4.17e+08,.0608457,6.15e+07,.0529168,6.90e+07,.0610815,3.22e+08,.0527868,9691327,.1167698,4.01e+07,.049941,2.01e+07,.0614329,2.73e+07,.061962,4.50e+08,.0512109,4.05e+08,.0333282,3.58e+07,.0546992,2.17e+07,.0577742,4499777,.0787489,2.02e+08,.0422579,7299353,.0728577,3.35e+08,.0537927,1.00e+08,.0652893,4.82e+07,.0741308,5.91e+07,.0760974,6.31e+07,.0565034,4.36e+07,.1157062,6.41e+07,.044161,2.49e+08,.043428,4.74e+07,.0796826,4.18e+07,.0485502,5.54e+08,.0426486,3.87e+09,278
2011,1,1.600e+08,.0372832,4.17e+08,.0160931,6.15e+07,.030161,6.90e+07,.0473491,3.22e+08,.0192046,9691327,.0247518,4.01e+07,.0189248,2.01e+07,.0159602,2.73e+07,.0434524,4.50e+08,.0174002,4.05e+08,.0261263,3.58e+07,.0201856,2.17e+07,.0289643,4499777,.0196679,2.02e+08,.0134169,7299353,.0403499,3.35e+08,.0188784,1.00e+08,.0452459,4.82e+07,.0238105,5.91e+07,.0070444,6.31e+07,.0154201,4.36e+07,.0709422,6.41e+07,.0337742,2.49e+08,.0233695,4.74e+07,.0294688,4.18e+07,.044651,5.54e+08,.037786,3.87e+09,279
2011,1,50000000,.0215833,4.17e+08,.0095988,6.15e+07,.0244891,6.90e+07,.0072888,3.22e+08,.015406,9691327,.0140368,4.01e+07,.0064141,2.01e+07,.0100648,2.73e+07,.0302381,4.50e+08,.0126768,4.05e+08,.0137604,3.58e+07,.0163387,2.17e+07,.0357569,4499777,.0220551,2.02e+08,.0124674,7299353,.0197063,3.35e+08,.0160509,1.00e+08,.0176888,4.82e+07,.0179335,5.91e+07,.0142534,6.31e+07,.0247982,4.36e+07,.0188477,6.41e+07,.053829,2.49e+08,.0235162,4.74e+07,.0207037,4.18e+07,.0218398,5.54e+08,.0327781,3.87e+09,280
2011,0,2.000e+08,.0168168,4.17e+08,.0127613,6.15e+07,.0145477,6.90e+07,.0318572,3.22e+08,.0075462,9691327,.0279578,4.01e+07,.0047189,2.01e+07,.0074109,2.73e+07,.0168909,4.50e+08,.0114455,4.05e+08,.0136222,3.58e+07,.0118548,2.17e+07,.0166904,4499777,.0156166,2.02e+08,.0124008,7299353,.0372512,3.35e+08,.0080993,1.00e+08,.0276058,4.82e+07,.0110043,5.91e+07,.005702,6.31e+07,.0062397,4.36e+07,.0414114,6.41e+07,.0150954,2.49e+08,.0092513,4.74e+07,.0305873,4.18e+07,.0181932,5.54e+08,.0300932,3.87e+09,281
2011,0,55000000,.0313514,4.17e+08,.0122156,6.15e+07,.0301037,6.90e+07,.0263971,3.22e+08,.0118485,9691327,.0308066,4.01e+07,.0200374,2.01e+07,.0168911,2.73e+07,.0149579,4.50e+08,.0129649,4.05e+08,.0060645,3.58e+07,.0241766,2.17e+07,.0140238,4499777,.0196195,2.02e+08,.0368433,7299353,.0236915,3.35e+08,.0173343,1.00e+08,.0193214,4.82e+07,.0110456,5.91e+07,.0218735,6.31e+07,.0100174,4.36e+07,.021026,6.41e+07,.0181357,2.49e+08,.031018,4.74e+07,.0249088,4.18e+07,.0243648,5.54e+08,.0176078,3.87e+09,282
2011,0,20000000,.0209953,4.17e+08,.045737,6.15e+07,.0447679,6.90e+07,.0135985,3.22e+08,.0330075,9691327,.0061051,4.01e+07,.018119,2.01e+07,.0357751,2.73e+07,.020231,4.50e+08,.0462362,4.05e+08,.0176345,3.58e+07,.0235301,2.17e+07,.0294119,4499777,.0137173,2.02e+08,.0319886,7299353,.0109943,3.35e+08,.0436615,1.00e+08,.0142983,4.82e+07,.0311381,5.91e+07,.0130167,6.31e+07,.0257362,4.36e+07,.0061908,6.41e+07,.0242754,2.49e+08,.0097907,4.74e+07,.0196125,4.18e+07,.0226911,5.54e+08,.0258842,3.87e+09,283
2011,1,2.000e+08,.0499539,4.17e+08,.0490409,6.15e+07,.068302,6.90e+07,.0515093,3.22e+08,.0491727,9691327,.1352563,4.01e+07,.0828748,2.01e+07,.1185327,2.73e+07,.0613512,4.50e+08,.0449157,4.05e+08,.0443165,3.58e+07,.0711798,2.17e+07,.0388199,4499777,.0712222,2.02e+08,.029453,7299353,.0761949,3.35e+08,.0602315,1.00e+08,.0608764,4.82e+07,.0975043,5.91e+07,.0903179,6.31e+07,.080085,4.36e+07,.0257975,6.41e+07,.0576016,2.49e+08,.0827669,4.74e+07,.0466479,4.18e+07,.0449193,5.54e+08,.0494113,3.87e+09,284
