year,sequel,production_budget,S_australia_rev,X_australia_rev,S_austria_rev,X_austria_rev,S_belgium_rev,X_belgium_rev,S_brazil_rev,X_brazil_rev,S_bulgaria_rev,X_bulgaria_rev,S_chile_rev,X_chile_rev,S_czechrepublic_rev,X_czechrepublic_rev,S_finland_rev,X_finland_rev,S_france_rev,X_france_rev,S_germany_rev,X_germany_rev,S_greece_rev,X_greece_rev,S_hungary_rev,X_hungary_rev,S_iceland_rev,X_iceland_rev,S_italy_rev,X_italy_rev,S_lebanon_rev,X_lebanon_rev,S_mexico_rev,X_mexico_rev,S_netherlands_rev,X_netherlands_rev,S_newzealand_rev,X_newzealand_rev,S_norway_rev,X_norway_rev,S_poland_rev,X_poland_rev,S_portugal_rev,X_portugal_rev,S_singapore_rev,X_singapore_rev,S_spain_rev,X_spain_rev,S_turkey_rev,X_turkey_rev,S_unitedarabemirates_rev,X_unitedarabemirates_rev,S_unitedkingdom_rev,X_unitedkingdom_rev,S_us_rev,X_us_rev,t,title,prequeltitle,prequelT
2003,0,60000000,.0186309,7.60e+07,.0309656,1.93e+07,.0560177,1.18e+07,.0316528,2.09e+07,.0461954,961720,.004556,1.15e+07,.0074869,4895341,.0110308,1.13e+07,.0545349,9.36e+07,.0241681,1.44e+08,.0297539,1.39e+07,.0385994,6304609,.0279638,2408110,.0356672,6.61e+07,.0074104,2686081,.0280474,4.39e+07,.035809,3.36e+07,.0204787,1.50e+07,.0098077,1.93e+07,.0412636,1.40e+07,.0100219,5194946,.0276017,2093097,.0349046,7.51e+07,.0395881,8598828,.0995166,1955452,.0195024,2.34e+08,.0664134,8.10e+08,11,"Paycheck","NaN",0
2004,0,42000000,.0224351,3.08e+08,.0338865,6.27e+07,.0264757,5.84e+07,.0125428,1.23e+08,.0115815,3816768,.0121419,2.77e+07,.0062725,1.77e+07,.0114112,2.39e+07,.0150257,3.85e+08,.0297938,4.17e+08,.0274569,5.17e+07,.0243442,2.29e+07,.0066418,1.67e+07,.02026,2.99e+08,.0106013,5766489,.0173611,2.14e+08,.0212112,7.81e+07,.0156844,4.61e+07,.0081067,4.60e+07,.0086317,6.21e+07,.0020618,3.97e+07,.0138136,1.27e+07,.020954,3.26e+08,.0145437,4.09e+07,.0217553,1.59e+07,.0199537,7.53e+08,.020835,4.23e+09,12,"Along Came Polly","NaN",0
2004,0,75000000,.0357387,3.08e+08,.030424,6.27e+07,.000408,5.84e+07,.0240265,1.23e+08,.01509,3816768,.0239985,2.77e+07,.0093791,1.77e+07,.0055395,2.39e+07,.0022403,3.85e+08,.0228128,4.17e+08,.0108859,5.17e+07,.0331951,2.29e+07,.015328,1.67e+07,.0057657,2.99e+08,.0059624,5766489,.0243522,2.14e+08,.0095947,7.81e+07,.0332864,4.61e+07,.0004487,4.60e+07,.0037808,6.21e+07,.0278288,3.97e+07,.0018162,1.27e+07,.0122697,3.26e+08,.0170724,4.09e+07,.0173274,1.59e+07,.0185791,7.53e+08,.0285947,4.23e+09,13,"50 First Dates","NaN",0
2004,0,30000000,.0379997,3.08e+08,.0280142,6.27e+07,.0222079,5.84e+07,.1247841,1.23e+08,.0380471,3816768,.1102814,2.77e+07,.0403383,1.77e+07,.034385,2.39e+07,.0307244,3.85e+08,.0245588,4.17e+08,.0631014,5.17e+07,.0419784,2.29e+07,.0128545,1.67e+07,.0799719,2.99e+08,.2073234,5766489,.0882817,2.14e+08,.0299486,7.81e+07,.0406291,4.61e+07,.0366618,4.60e+07,.1877509,6.21e+07,.0679454,3.97e+07,.1207647,1.27e+07,.0418904,3.26e+08,.0553423,4.09e+07,.0846642,1.59e+07,.0271374,7.53e+08,.0876901,4.23e+09,14,"The Passion of the Christ","NaN",0
2004,0,60000000,.0333495,3.08e+08,.0117816,6.27e+07,.0208757,5.84e+07,.0008106,1.23e+08,.0078944,3816768,.0030654,2.77e+07,.0057446,1.77e+07,.0129363,2.39e+07,.0257134,3.85e+08,.0176158,4.17e+08,.0055945,5.17e+07,.0073374,2.29e+07,.0097597,1.67e+07,.026279,2.99e+08,.0121051,5766489,.007609,2.14e+08,.0175699,7.81e+07,.0232537,4.61e+07,.0201201,4.60e+07,.0034317,6.21e+07,.0103667,3.97e+07,.0187206,1.27e+07,.0099444,3.26e+08,.0020977,4.09e+07,.0160237,1.59e+07,.0301556,7.53e+08,.0208682,4.23e+09,15,"Starsky and Hutch","NaN",0
2004,0,40000000,.0091582,3.08e+08,.0097963,6.27e+07,.0000878,5.84e+07,.0054615,1.23e+08,.011586,3816768,.0036601,2.77e+07,.0029497,1.77e+07,.0042526,2.39e+07,.0086586,3.85e+08,.0098229,4.17e+08,.0142698,5.17e+07,.0089518,2.29e+07,.0009752,1.67e+07,.0152193,2.99e+08,.0046822,5766489,.0114393,2.14e+08,.009563,7.81e+07,.0110922,4.61e+07,.008635,4.60e+07,.0039018,6.21e+07,.0130462,3.97e+07,.0011185,1.27e+07,.011403,3.26e+08,.0154211,4.09e+07,.009877,1.59e+07,.005433,7.53e+08,.0113574,4.23e+09,16,"Secret Window","NaN",0
2004,1,30000000,.0202713,3.08e+08,.0180383,6.27e+07,.0352872,5.84e+07,.0145916,1.23e+08,.001888,3816768,.0145042,2.77e+07,.0384912,1.77e+07,.041615,2.39e+07,.0244565,3.85e+08,.0177568,4.17e+08,.0126247,5.17e+07,.0132916,2.29e+07,.0130783,1.67e+07,.0201446,2.99e+08,.0102586,5766489,.0046772,2.14e+08,.0256449,7.81e+07,.0140733,4.61e+07,.0380847,4.60e+07,.0126538,6.21e+07,.0148802,3.97e+07,.0163041,1.27e+07,.0132548,3.26e+08,.0117073,4.09e+07,.0127219,1.59e+07,.0223983,7.53e+08,.0156582,4.23e+09,17,"Kill Bill Vol. 2","NaN",0
2004,0,70000000,.0131086,3.08e+08,.0046254,6.27e+07,.0298417,5.84e+07,.0115829,1.23e+08,.0215153,3816768,.0089163,2.77e+07,.005332,1.77e+07,.0045134,2.39e+07,.0083527,3.85e+08,.0060153,4.17e+08,.0060368,5.17e+07,.0078225,2.29e+07,.0043577,1.67e+07,.0067908,2.99e+08,.0144108,5766489,.0185533,2.14e+08,.0080851,7.81e+07,.0065528,4.61e+07,.0099939,4.60e+07,.0067242,6.21e+07,.0119896,3.97e+07,.0066552,1.27e+07,.0176476,3.26e+08,.0123515,4.09e+07,.0171671,1.59e+07,.0056818,7.53e+08,.0184261,4.23e+09,18,"Man on Fire","NaN",0
2004,0,1.600e+08,.0308759,3.08e+08,.0380552,6.27e+07,.0555594,5.84e+07,.0263212,1.23e+08,.0234308,3816768,.02702,2.77e+07,.0334491,1.77e+07,.0270905,2.39e+07,.0290891,3.85e+08,.0422034,4.17e+08,.0241776,5.17e+07,.0318623,2.29e+07,.0866832,1.67e+07,.0308279,2.99e+08,.0143293,5766489,.0381733,2.14e+08,.0294596,7.81e+07,.0271218,4.61e+07,.0225562,4.60e+07,.016153,6.21e+07,.0288023,3.97e+07,.1233606,1.27e+07,.0369056,3.26e+08,.0357894,4.09e+07,.0391583,1.59e+07,.0366471,7.53e+08,.0284219,4.23e+09,19,"Van Helsing","NaN",0
2004,0,1.750e+08,.0532413,3.08e+08,.0765235,6.27e+07,.1050818,5.84e+07,.074579,1.23e+08,.1896979,3816768,.0704403,2.77e+07,.1172435,1.77e+07,.0664762,2.39e+07,.046114,3.85e+08,.08436,4.17e+08,.1405857,5.17e+07,.0970725,2.29e+07,.0182092,1.67e+07,.0632556,2.99e+08,.0870153,5766489,.0702502,2.14e+08,.0822201,7.81e+07,.0495986,4.61e+07,.0683553,4.60e+07,.0782061,6.21e+07,.042916,3.97e+07,.0568712,1.27e+07,.0739295,3.26e+08,.1657868,4.09e+07,.0836608,1.59e+07,.0420634,7.53e+08,.0315439,4.23e+09,20,"Troy","NaN",0
